pitch,start_time,end_time,time_diff,note_len
79,32.0964354583,32.3345304583,0.238095,0/0
82,32.0964354583,32.3345304583,0.238095,0/0
79,32.3345304583,32.5834929583,0.2489625,0/0
82,32.3345304583,32.5834929583,0.2489625,0/0
82,32.5834929583,32.8455014583,0.2620085,0/0
79,32.5834929583,32.8455014583,0.2620085,0/0
88,32.8455014583,32.9283744583,0.082873,0/0
82,32.9283744583,33.011171375,0.0827969166667,0/0
91,33.011171375,33.093816125,0.08264475,0/0
88,33.093816125,33.176233625,0.0824175,0/0
94,33.176233625,33.258575875,0.08234225,0/0
91,33.258575875,33.340767625,0.08219175,0/0
88,33.340767625,33.422734875,0.08196725,0/0
91,33.422734875,33.504627625,0.08189275,0/0
82,33.504627625,33.586371375,0.08174375,0/0
88,33.586371375,33.667893125,0.08152175,0/0
79,33.667893125,33.7493412083,0.0814480833333,0/0
82,33.7493412083,33.8306419583,0.08130075,0/0
76,33.8306419583,33.9117229583,0.081081,0/0
79,33.9117229583,33.9928039583,0.081081,0/0
70,33.9928039583,34.0738849583,0.081081,0/0
76,34.0738849583,34.1549659583,0.081081,0/0
67,34.1549659583,34.2360469583,0.081081,0/0
70,34.2360469583,34.3171279583,0.081081,0/0
64,34.3171279583,34.3982089583,0.081081,0/0
67,34.3982089583,34.4792899583,0.081081,0/0
58,34.4792899583,34.5603709583,0.081081,0/0
64,34.5603709583,34.6414519583,0.081081,0/0
60,39.8187269583,40.35579525,0.537068291667,0/0
56,40.35579525,40.45133675,0.0955415,0/0
53,40.45133675,40.67521725,0.2238805,0/0
53,40.67521725,40.9987862604,0.323569010417,0/0
60,40.67521725,40.9987862604,0.323569010417,0/0
65,40.67521725,40.9987862604,0.323569010417,0/0
56,40.67521725,40.9987862604,0.323569010417,0/0
68,41.00219225,41.3257612604,0.323569010417,0/0
60,41.00219225,41.3257612604,0.323569010417,0/0
56,41.00219225,41.3257612604,0.323569010417,0/0
65,41.00219225,41.3257612604,0.323569010417,0/0
68,41.32916725,41.6527362604,0.323569010417,0/0
60,41.32916725,41.6527362604,0.323569010417,0/0
72,41.32916725,41.6527362604,0.323569010417,0/0
65,41.32916725,41.6527362604,0.323569010417,0/0
68,41.65614225,41.9797112604,0.323569010417,0/0
72,41.65614225,41.9797112604,0.323569010417,0/0
77,41.65614225,41.9797112604,0.323569010417,0/0
65,41.65614225,41.9797112604,0.323569010417,0/0
80,41.98311725,42.3066862604,0.323569010417,0/0
77,41.98311725,42.3066862604,0.323569010417,0/0
68,41.98311725,42.3066862604,0.323569010417,0/0
72,41.98311725,42.3066862604,0.323569010417,0/0
72,42.31009225,42.4871756542,0.177083404167,0/0
77,42.31009225,42.4871756542,0.177083404167,0/0
84,42.31009225,42.4871756542,0.177083404167,0/0
80,42.31009225,42.4871756542,0.177083404167,0/0
80,42.48866375,44.09580725,1.6071435,0/0
89,42.48866375,44.09580725,1.6071435,0/0
77,42.48866375,44.09580725,1.6071435,0/0
84,42.48866375,44.09580725,1.6071435,0/0
56,44.09580725,44.539892,0.44408475,0/0
60,44.539892,44.638201,0.098309,0/0
65,44.638201,45.1216825,0.4834815,0/0
68,45.1216825,45.550054,0.4283715,0/0
72,45.550054,45.642985,0.092931,0/0
77,45.642985,46.1580686979,0.515083697917,0/0
65,46.1618045,46.687641,0.5258365,0/0
60,46.687641,46.9115215,0.2238805,0/0
64,46.9115215,47.2350905104,0.323569010417,0/0
60,46.9115215,47.2350905104,0.323569010417,0/0
60,47.2384965,47.5620655104,0.323569010417,0/0
67,47.2384965,47.5620655104,0.323569010417,0/0
64,47.2384965,47.5620655104,0.323569010417,0/0
67,47.5654715,47.8890405104,0.323569010417,0/0
64,47.5654715,47.8890405104,0.323569010417,0/0
72,47.5654715,47.8890405104,0.323569010417,0/0
72,47.8924465,48.2160155104,0.323569010417,0/0
67,47.8924465,48.2160155104,0.323569010417,0/0
76,47.8924465,48.2160155104,0.323569010417,0/0
76,48.2194215,48.5429905104,0.323569010417,0/0
72,48.2194215,48.5429905104,0.323569010417,0/0
79,48.2194215,48.5429905104,0.323569010417,0/0
79,48.5463965,48.8469017458,0.300505245833,0/0
76,48.5463965,48.8469017458,0.300505245833,0/0
84,48.5463965,48.8469017458,0.300505245833,0/0
72,48.849427,49.6968845,0.8474575,0/0
74,49.6968845,49.878769,0.1818845,0/0
74,49.878769,49.9357328333,0.0569638333333,0/0
76,49.9357328333,50.0207975833,0.08506475,0/0
74,49.9925058333,50.0490893333,0.0565835,0/0
76,50.0490893333,50.1054845,0.0563951666667,0/0
74,50.1054845,50.1616958333,0.0562113333333,0/0
76,50.1616958333,50.2177181667,0.0560223333333,0/0
74,50.2177181667,50.2735109583,0.0557927916667,0/0
76,50.2735109583,50.328988875,0.0554779166667,0/0
74,50.328988875,50.3851516667,0.0561627916667,0/0
76,50.3851516667,50.441877625,0.0567259583333,0/0
74,50.441877625,50.499178125,0.0573005,0/0
76,50.499178125,50.557064875,0.05788675,0/0
74,50.557064875,50.644564125,0.08749925,0/0
72,50.644564125,50.741014625,0.0964505,0/0
76,50.741014625,50.837465125,0.0964505,0/0
74,50.837465125,50.943121125,0.105656,0/0
60,50.943121125,51.1651359542,0.222014829167,0/0
64,51.167001625,51.4905706354,0.323569010417,0/0
60,51.167001625,51.4905706354,0.323569010417,0/0
67,51.493976625,51.8175456354,0.323569010417,0/0
64,51.493976625,51.8175456354,0.323569010417,0/0
60,51.493976625,51.8175456354,0.323569010417,0/0
72,51.820951625,52.1445206354,0.323569010417,0/0
67,51.820951625,52.1445206354,0.323569010417,0/0
64,51.820951625,52.1445206354,0.323569010417,0/0
76,52.147926625,52.4714956354,0.323569010417,0/0
72,52.147926625,52.4714956354,0.323569010417,0/0
67,52.147926625,52.4714956354,0.323569010417,0/0
79,52.474901625,52.7984706354,0.323569010417,0/0
76,52.474901625,52.7984706354,0.323569010417,0/0
72,52.474901625,52.7984706354,0.323569010417,0/0
79,52.801876625,53.1008715625,0.2989949375,0/0
84,52.801876625,53.1008715625,0.2989949375,0/0
76,52.801876625,53.1008715625,0.2989949375,0/0
72,53.103384125,53.950841625,0.8474575,0/0
73,53.950841625,54.087255,0.136413375,0/0
72,54.087255,54.132726125,0.045471125,0/0
73,54.132726125,54.1896899583,0.0569638333333,0/0
75,54.1896899583,54.2464629583,0.056773,0/0
73,54.2464629583,54.3030464583,0.0565835,0/0
75,54.3030464583,54.359441625,0.0563951666667,0/0
73,54.359441625,54.4156529583,0.0562113333333,0/0
75,54.4156529583,54.4716752917,0.0560223333333,0/0
73,54.4716752917,54.5274680833,0.0557927916667,0/0
75,54.5274680833,54.582946,0.0554779166667,0/0
73,54.582946,54.6391087917,0.0561627916667,0/0
75,54.6391087917,54.72441275,0.0853039583333,0/0
73,54.72441275,54.811022,0.08660925,0/0
75,54.811022,54.89852125,0.08749925,0/0
73,54.89852125,54.99497175,0.0964505,0/0
72,54.99497175,55.09142225,0.0964505,0/0
73,55.09142225,55.19707825,0.105656,0/0
82,55.19707825,55.68621575,0.4891375,0/0
79,55.19707825,55.68621575,0.4891375,0/0
80,57.15896025,57.64634475,0.4873845,0/0
83,57.15896025,57.64634475,0.4873845,0/0
83,59.11908925,61.07963825,1.960549,0/0
80,59.11908925,61.07963825,1.960549,0/0
88,59.11908925,61.07963825,1.960549,0/0
79,61.07963825,61.40661625,0.326978,0/0
87,61.07963825,61.40661625,0.326978,0/0
82,61.07963825,61.40661625,0.326978,0/0
82,62.55060075,62.953897,0.40329625,0/0
79,62.55060075,62.953897,0.40329625,0/0
79,62.953897,63.052907,0.09901,0/0
82,62.953897,63.052907,0.09901,0/0
80,63.052907,63.380776,0.327869,0/0
83,63.052907,63.380776,0.327869,0/0
82,63.380776,63.541634,0.160858,0/0
79,63.380776,63.541634,0.160858,0/0
67,63.86335,64.0272845,0.1639345,0/0
70,63.86335,64.0272845,0.1639345,0/0
55,64.3524875,64.515089,0.1626015,0/0
58,64.3524875,64.515089,0.1626015,0/0
82,64.922288,65.0143855,0.0920975,0/0
79,64.922288,65.0143855,0.0920975,0/0
82,65.0143855,65.3422545,0.327869,0/0
85,65.0143855,65.3422545,0.327869,0/0
80,65.3422545,65.503545,0.1612905,0/0
83,65.3422545,65.503545,0.1612905,0/0
68,65.826126,65.9900605,0.1639345,0/0
71,65.826126,65.9900605,0.1639345,0/0
56,66.316157,66.474940625,0.158783625,0/0
59,66.316157,66.474940625,0.158783625,0/0
83,66.88705625,66.98875125,0.101695,0/0
80,66.88705625,66.98875125,0.101695,0/0
83,66.98875125,68.95329925,1.964548,0/0
88,66.98875125,68.95329925,1.964548,0/0
80,66.98875125,68.95329925,1.964548,0/0
82,68.95329925,69.27983525,0.326536,0/0
87,68.95329925,69.27983525,0.326536,0/0
79,68.95329925,69.27983525,0.326536,0/0
69,69.93424025,70.91518125,0.980941,0/0
66,69.93424025,70.91518125,0.980941,0/0
